keys,ja
talk_0001_1,"青い花の周辺を探すといいことあるかもね。"
talk_0002_1,"まずは、下まで降りてステージ5へ行って、隠された扉の先で壁ジャンプアイテムをもらいなさい。"
talk_0002_2,"他のアイテムを先に見つけて進む道もあるかもしれないけどね。"
talk_0003_1,"勇者よ！壁ジャンプアイテムを持っていくがよい！"
talk_0003_2,"え？次？仕方ないなぁ。ソコの非常口から戻って、遺跡の奥の奥まで行きなさい。じゃあね。"
talk_0004_1,"ホレ！靴アイテムを嘗め回すがいいわ！"
talk_0004_2,"後は水着アイテムがあればどこへでも行けるようになるわね。マップ全体の一番右上の角よ。"
talk_0004_3,"右上の方でウロウロしてみるといいかもね。"
talk_0005_1,"HENTAI御用達の旧スクよ！壁ジャンプ・靴・水着の3つのアイテムがあればゲームはクリア可能さ！"
talk_0005_2,"まあ、暗闇ステージにランプアイテムも欲しいけどね。"
talk_0005_3,"ランプアイテムを氷の底で見たメイドがいたらしいわ。頑張って探してね。"
talk_0006_1,"この先に宇宙から来たメイドがいるわ。でも、彼女に会うには三人の門番を倒す必要があるのよ。"
talk_0007_1,"通りなさい。宇宙から来たメイドが待っているわ。"
talk_0007_2,"あなたが勝てば、宇宙から来たメイドは地球から去るでしょう。"
talk_0008_1,"私は宇宙から来たメイド三人の門番の一人、メイドの出る蛇口！"
talk_0008_2,"私を含めた三人の門番に勝てば、宇宙から来たメイドに合う資格を与えよう。"
talk_0008_3,"戦う準備はできたか？"
talk_0009_1,"よくここまで来わねぇ。私は邪道メイド姉妹の姉、エロメイドよ。三人の門番の一人でもあるの。"
talk_0009_2,"私を含めた三人の門番に勝ったら、宇宙から来たメイドに合う資格を与えてもいいわよ。"
talk_0009_3,"戦う準備はできたかしら？"
talk_0010_1,"ロボは三人の門番の一人、邪道メイド姉妹の妹、メイドロボだロボ。"
talk_0010_2,"ロボを含めた三人の門番に勝てば、宇宙から来たメイドに合う資格を与えるロボ。"
talk_0010_3,"戦う準備はできたロボ？"
talk_0011_1,"暗いと不平を言うよりも、すすんであかりをつけましょうってCMあったよね。"
talk_0011_2,"今の若い子は知らないかぁ・・・。あ、私は若いからね？"
talk_0012_1,"まいった！落ち着いたなら、話を続けてもいいかね？"
talk_0012_2,"さて、私に勝利したなら、他の門番も倒せるだろう。"
talk_0012_3,"他の二人は姉妹でな。それぞれ氷の山と氷の深い谷にいる。"
talk_0012_4,"三人の門番を倒せば宇宙から来たメイドに会うことができる。がんばれよ。"
talk_0013_1,"まいったロボ！落ち着いたなら、話を続けてもいいロボ？"
talk_0013_2,"さて、ロボに勝利したなら、他の門番も倒せるかもしれないロボ。"
talk_0013_3,"他の二人はロボの姉とメイドの出る蛇口ロボ。それぞれ氷の山と深い水の底にいるロボ。"
talk_0013_4,"三人の門番を倒せば宇宙から来たメイドに会うことができるロボ。がんばれロボ。"
talk_0014_1,"もう、イッちゃったじゃない！落ち着いたなら、話を続けてもいいかしら？"
talk_0014_2,"さて、私に勝利したなら、他の門番も倒せるかもしれないわね。"
talk_0014_3,"他の二人は私の妹とメイドの出る蛇口よ。それぞれ氷の深い谷と深い水の底にいる。"
talk_0014_4,"三人の門番を倒せば宇宙から来たメイドに会うことができるわよ。がんばってね。"
talk_0015_1,"敵はナイフで刺したら死ぬ！貫通すればもっと死ぬ！"
talk_0015_2,"雑魚でもボスでも壁でもお構いなしに攻撃したいわよね！死体だけに！"
talk_0015_3,"というわけで、貫通アイテムよ！"
talk_0016_1,"名探偵の必需品の虫眼鏡はいかが？"
talk_0016_2,"地球にはホームズって有名人がいて床にはいつくばって拡大鏡を使うらしいわね？"
talk_0016_3,"でも、宇宙の拡大鏡は接近するだけで探し物を見つけてくれるの。プレゼントするから持っていきなさい。"
talk_0017_1,"あら？新入りさんかしら？ここは控室よ。"
talk_0018_1,"どこからどうみてもアリスなのにメイドだって言う困った人がいるのよ。"
talk_0019_1,"競泳水着をスクール水着だっていう人がいるそうよ。信じられないわよね。"
talk_0020_1,"ピンクハウスをメイドだっていうのは問題よね。"
talk_0021_1,"このアイテムは予備なのよ。新しい挑戦者が来たら置きに行かなきゃね。"
talk_0022_1,"趣味でお金を儲けて一石二鳥なんて、そんなの趣味じゃないわよね。"
talk_0023_1,"東京の漫画祭りで初代バーチャファイターのポリゴンじゃないと興奮しないって人を見たわ。"
talk_0024_1,"超チッコイゲームの字幕って英語も日本語も手を抜いて同じ面積で表示しようとしたせいよね。"
talk_0025_1,"ロボットのコックピットが温泉になってるアニメってなんだっけ？"
talk_0026_1,"NECって奇妙なゲーム多かったよね。"
talk_0027_1,"昔は最高だと思ったゲームを今遊ぶと微妙に感じて悲しく思うことってあるわよね。"
talk_0028_1,"CSVファイルをなめてたら痛い目に合うのよ。"
talk_0029_1,"一理あるけど一理しかないことに飛びついちゃダメよ？"
talk_0030_1,"2Dアクションゲームの人たちって穴なんか避けて歩けばいいのに飛び越えるのよ。変だと思わない？"
talk_0031_1,"ゲームの主人公ってジャンプと間違えてアイテムを使ったりして意味がわからないよね。"
talk_0032_1,"・・・来たか。ここまで来られた地球のメイドは君だけだ。"
talk_0032_2,"君には宇宙から来たメイドに挑戦する資格がある。進みなさい。"
talk_0033_1,"宇宙から来たメイドに挑戦する準備はいいロボか？強化アイテムの取り忘れはないロボか？"
talk_0033_2,"準備ができたら、進めロボ。宇宙から来たメイドが待ってるロボ！"
talk_0034_1,"ここまで来られたのね。アナタなら宇宙から来たメイド相手でも簡単にはイッちゃわないかもね。"
talk_0034_2,"宇宙から来たメイドは奥にいるわ。奥とか卑猥だったかしら？フフフ、頑張ってね。"
talk_0035_1,"まっておったぞ。地球のメイドよ。よくぞ3人の門番を倒した！"
talk_0035_2,"我に勝てたならお前に地球をくれてやる。全力でかかってくるがよい。"
talk_0035_3,"我と戦う覚悟はできたか？"
talk_0036_1,"見事！落ち着いたなら、話を続けてもいいかね？"
talk_0036_2,"地球のメイドよ！約束通り、地球はお前のものだ！"
talk_0036_3,"我々は星の海に帰るとしよう。さらばだ！"
talk_0037_1,"この先のステージ9は全体マップにおける右上なのよ。"
talk_0037_2,"でも、何か探してるなら、メイド電話より奥には行かない方がいいわよ。"
